ASC_Name,Provider_ID,NPI,City,State,Zip_Code,ASC_1_Measure_Rate,ASC_1_Footnote,ASC_2_Measure_Rate,ASC_2_Footnote,ASC_3_Measure_Rate,ASC_3_Footnote,ASC_4_Measure_Rate,ASC_4_Footnote,ASC_8_Rate,ASC_8_Footnote,ASC_9_Rate,ASC_9_Footnote,ASC_10_Rate,ASC_10_Footnote,ASC_11_Rate,ASC_11_Footnote,ASC_12_Total_Cases,ASC_12_Performance_Category,ASC_12_RSHV_Rate,ASC_12_Interval_Lower_Limit,ASC_12_Interval_Upper_Limit,ASC_12_Footnote
MISSISSIPPI VALLEY ENDOSCOPY CENTER,16C0001007,1619933835,DAVENPORT,IA,52807,0,,0,,0,,0,,92,,83.25,,67.45,,N/A,5,384,No Different than the National Rate,13.2,9.2,18.6,
MISSISSIPPI VALLEY ENDOSCOPY CENTER,16C0001023,1619933835,DAVENPORT,IA,52807,0,,0,,0,,0,,84.09,,83.25,,67.45,,N/A,5,384,No Different than the National Rate,13.2,9.2,18.6,
OUTPATIENT SURGERY CENTER OF HILTON HEAD,42C0001064,1619935483,HILTON HEAD ISLAND,SC,29926,0,,0,,0,,0.494,,64.13,,100,,97.69,,N/A,5,1129,No Different than the National Rate,10.6,7.7,14.8,
CENTER FOR DIGESTIVE HEALTH AND PAIN MANAGEMENT,10C0001232,1619940582,FORT MYERS,FL,33919,0,,0,,0,,0,,70,,100,,97.87,,N/A,5,181,No Different than the National Rate,12,8.3,17.2,
WAVERLEY SURGERY CENTER LLC,05C0001547,1619944824,PALO ALTO,CA,94301,0,,0.643,,0,,0.643,,86.87,,93.75,,80.21,,N/A,5,902,No Different than the National Rate,11,8,15.3,
MINNESOTA EYE LASER AND SURGERY CENTERS LLC,24C0001050,1619957115,MAPLEWOOD,MN,55109,0,,0,,0,,0,,69.35,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
ADVANCED SURGERY CENTER,26C0001074,1619965324,ST LOUIS,MO,63141,0,,0,,0,,0,,57.58,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
CYPRESS OUTPATIENT SURGICAL CENTER INC,05C0001043,1619970472,SANTA CRUZ,CA,95065,0,,0,,0,,0,,100,,N/A,5,N/A,5,100,,N/A,N/A,N/A,N/A,N/A,5
KU MEDWEST AMBULATORY SURGERY CENTER LLC,17C0001042,1619971082,SHAWNEE,KS,66217,0,,0,,0,,0,,98.9,,100,,97.24,,N/A,5,205,No Different than the National Rate,11.7,8,17.3,
DOCTORS OUTPATIENT SURGICENTER LTD,45C0001009,1619971504,PASADENA,TX,77504,0,,0,,0,,0,,90.91,,100,,100,,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1
AMBULATORY SURGERY CENTER OF SPARTANBURG LLC,42C0001041,1619972791,SPARTANBURG,SC,29303,0,,0,,0,,0,,87.41,,100,,100,,N/A,5,629,No Different than the National Rate,10.5,7.3,15.1,
ST JOSEPHS SURGERY CENTER LP,05C0001711,1619974219,STOCKTON,CA,95204,0,,0.932,,0,,0,,94.07,,100,,100,,N/A,5,413,No Different than the National Rate,10.6,7.4,15.1,
PORT ORANGE ENDOSCOPY AND SURGERY CENTER INC,10C0001449,1619979580,PORT ORANGE,FL,32127,0,,0,,0,,0,,89.47,,100,,100,,N/A,5,264,No Different than the National Rate,13.6,9.5,19.5,
WEIL FOOT AND ANKLE INSTITUTE,14C0001068,1619981479,DES PLAINES,IL,60016,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
CEDARS SURGERY CENTER LP,05C0001470,1619989019,SANTA BARBARA,CA,93105,0,,0,,0,,0,,57.81,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
AESTHETIC PLASTIC SURGERY CENTER,10C0001135,1619992518,VENICE,FL,34285,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
MED CITY DALLAS OUTPATIENT SURGERY CENTER LP,45C0001100,1619995180,DALLAS,TX,75230,0,,0,,0,,0,,97.44,,100,,100,,N/A,5,306,No Different than the National Rate,11.5,8,16.4,
UPSTATE SURGERY CENTER LLC,42C0001033,1619998523,GREENVILLE,SC,29615,0,,0,,0,,0.833,,96.36,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
PAIN CARE CENTER BOISE LLC,13C0001049,1619998648,BOISE,ID,83702,0,,0,,0,,0,,100,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
ENDOSCOPY CENTER OF SANTA MONICA,05C0001664,1629009071,LOS ANGELES,CA,90025,0,,0,,0,,0,,91.18,,100,,100,,N/A,5,845,No Different than the National Rate,10.5,7.6,14.5,
CHAMBERSBURG ENDOSCOPY CENTER LLC,39C0001215,1629013164,CHAMBERSBURG,PA,17201,0,,0,,0,,0,,46.67,,99.08,,94.9,,N/A,5,999,No Different than the National Rate,11.2,8.1,15.2,
UNIVERSITY CENTER FOR AMBULATORY SURGERY LLC,21C0001330,1629016076,RIVERDALE,MD,20737,0,,0,,0,,3.683,,100,,96.55,,89.47,,N/A,5,137,No Different than the National Rate,15.3,10.5,23.1,
RAINIER SURGICAL CENTER,50C0001253,1629016555,FEDERAL WAY,WA,98003,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
UTAH SURGICAL CENTER LLC,46C0001033,1629032305,WEST VALLEY CITY,UT,84120,N/A,5,N/A,5,N/A,5,N/A,5,91.01,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
AMBULATORY SURGERY CENTER GROUP LTD,10C0001002,1629032446,TAMPA,FL,33613,0,,0,,0,,0,,94,,66.67,,84.13,,N/A,5,32,No Different than the National Rate,12.6,8.5,18.2,
SAN ANTONIO EYE CENTER,45C0001010,1629038989,SAN ANTONIO,TX,78215,0,,0,,0,,0,,84.78,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
WESTLAKE OPHTHALMOLOGY ASC LP,55C0001006,1629041157,WESTLAKE VILLAGE,CA,91361,0,,0,,0,,0,,92.98,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
MONTICELLO COMMUNITY SURGERY CENTER LLC,49C0001029,1629045133,CHARLOTTESVILLE,VA,22901,0,,0,,0,,0.493,,69.77,,77.6,,23.05,,N/A,5,167,No Different than the National Rate,12.5,8.4,18.1,
INSTITUTO DE GASTROENTEROLOGIA DE PR,40C0001011,1629063151,SAN JUAN,PR,918,0,,0,,0,,0,,60,,N/A,5,N/A,5,N/A,5,105,No Different than the National Rate,12.1,8.2,17.7,
EYE SURG OF UTAH LLC,46C0001024,1629069281,DRAPER,UT,84020,0,,0,,0,,0,,51.85,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
MICHIGAN ENDOSCOPY CENTER LLC,23C0001045,1629075106,FARMINGTON HILLS,MI,48334,0,,0.376,,0,,0.376,,81.73,,95.83,,86.46,,N/A,5,1512,No Different than the National Rate,10.8,8.1,14.6,
NOVAMED EYE SURGERY CENTER OF OVERLAND PARK LLC,17C0001010,1629078043,OVERLAND PARK,KS,66211,0,,0,,0,,0,,81.4,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
CARES SURGICENTER LLC,31C0001121,1629079058,NEW BRUNSWICK,NJ,8901,0,,0,,0,,0,,72.9,,82.98,,80.67,,N/A,5,152,No Different than the National Rate,11.4,7.8,16.5,
NEWCO AMBULATORY SURGERY CENTER LLP,23C0001052,1629079611,FORT GRATIOT,MI,48059,0,,0,,0,,3.028,,77.92,,68.47,,77.44,,N/A,5,213,No Different than the National Rate,12.8,8.9,18.7,
ANNAPOLIS ENT SURGERY CENTER LLC,21C0001360,1629094917,ANNAPOLIS,MD,21401,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
NORTHWEST JERSEY AMBULATORY SURGERY CENTER PA,31C0001043,1629107099,SPARTA,NJ,7871,0,,0,,0,,0,,100,,N/A,5,N/A,5,99.21,,N/A,N/A,N/A,N/A,N/A,5
LANIER EYE ASSOCIATES LLC,11C0001232,1629107545,GAINESVILLE,GA,30501,0,,0,,0,,0,,40,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
MONTEREY PARK OUTPATIENT SURGERY CENTER INC,05C0001611,1629111430,MONTEREY PARK,CA,91754,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
NEWNAN FOOT AND ANKLE SURGERY CENTER,11C0001303,1629113501,NEWNAN,GA,30265,N/A,1,N/A,1,N/A,1,N/A,1,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
MIDWEST SURGERY CENTER,24C0001007,1629130521,WOODBURY,MN,55125,0,,0,,0,,1.784,,100,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
ENCINO OUTPATIENT SURGERY CENTER LLC,55C0001080,1629132360,ENCINO,CA,91436,0,,0,,0,,0,,89.29,,83.62,,97.92,,N/A,5,621,No Different than the National Rate,11.9,8.5,16.8,
MADERA AMBULATORY ENDOSCOPY CENTER,05C0001271,1629135843,MADERA,CA,93637,0,,2.037,,0,,0,,92.86,,55.38,,72.94,,N/A,5,181,No Different than the National Rate,11.7,8,16.7,
ENDOSCOPY CENTER OF BUCKS COUNTY LP,39C0001230,1629142666,NEWTOWN,PA,18940,0,,0,,0,,0.765,,80.49,,92.92,,54.84,,N/A,5,689,No Different than the National Rate,11.6,8.3,15.9,
IDAHO EYE CENTER PA,13C0001004,1629145685,IDAHO FALLS,ID,83404,0,,0,,0,,0,,79.25,,N/A,5,N/A,5,99.64,,N/A,N/A,N/A,N/A,N/A,5
IDAHO EYE CENTER POCATELLO,13C0001025,1629145685,POCATELLO,ID,83201,0,,0,,0,,0,,79.25,,N/A,5,N/A,5,99.64,,N/A,N/A,N/A,N/A,N/A,5
IDAHO EYE CENTER REXBURG,13C0001066,1629145685,REXBURG,ID,83440,0,,0,,0,,0,,79.25,,N/A,5,N/A,5,99.64,,N/A,N/A,N/A,N/A,N/A,5
ISLAND EYE SURGICENTER LLC,33C0001047,1629152053,CARLE PLACE,NY,11514,0,,0,,0,,0,,68.48,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
WILLS SURGERY CENTER IN NORTHEAST PHILADELPHIA,39C0001044,1629153770,PHILADELPHIA,PA,19152,0,,0,,0,,0,,96.47,,96.58,,100,,N/A,5,153,No Different than the National Rate,12.3,8.5,17.7,
AMBULATORY SURGICAL CENTER OF SOUTHERN NEVADA LLC,29C0001059,1629166624,LAS VEGAS,NV,89147,0,,1.261,,0,,0.631,,94.59,,91.67,,96.88,,N/A,5,898,No Different than the National Rate,11.8,8.6,16.3,
SAME DAY SURGERY CENTER OF CENTRAL JERSEY LLC,31C0001147,1629171228,EDISON,NJ,8837,0,,0,,0,,0,,100,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
CROWNE POINT ENDOSCOPY AND SURGERY CENTER,23C0001087,1629173075,FLINT,MI,48507,0,,0,,0,,0,,76.27,,85.25,,79.04,,N/A,5,892,No Different than the National Rate,11,8,15.2,
SARATOGA SCHENECTADY ENDOSCOPY CENTER LLC,33C0001082,1629175062,BURNT HILLS,NY,12027,1.335,,0,,0,,1.336,,100,,90.52,,17.66,,N/A,5,847,No Different than the National Rate,12.8,9.2,17.8,
QUINLAN EYE SURGERY AND LASER CENTER PA,17C0001053,1629177316,FORT SCOTT,KS,66701,0,,0,,0,,0,,N/A,1,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
JOURNEY LITE OF THE CENTRAL COAST LLC,05C0001752,1629179205,THOUSAND OAKS,CA,91361,0,,0,,0,,0,,41.86,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
CLAYTON CATARACT AND LASER SURGERY CENTER,11C0001138,1629181136,MORROW,GA,30260,0,,0,,0,,0,,81.82,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
CLINICAL ASSOCIATION AMBULATORY SURGICAL CENTER,21C0001063,1629202445,TOWSON,MD,21286,N/A,5,N/A,5,N/A,5,N/A,5,100,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
GEORGIA UROLOGY PA,11C0001330,1629222815,CONYERS,GA,30012,0,,0,,0,,0,,N/A,1,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
PASADENA ADVANCED SURGERY INSTITUTE,05C0001525,1629231782,PASADENA,CA,91105,0,,0,,0,,0,,82.61,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
NORTH STATE SURGERY CENTERS LP,05C0001493,1629249172,REDDING,CA,96001,0,,0,,0,,0,,87.39,,100,,100,,N/A,5,143,No Different than the National Rate,11.6,7.8,16.9,
BELMONT HARLEM SURGERY CENTER LLC,14C0001013,1629256961,CHICAGO,IL,60634,0,,0,,0,,0,,60.26,,100,,100,,N/A,5,32,No Different than the National Rate,12.1,8.3,18.3,
THE SURGERY CENTER OF THE VILLAGES LLC,10C0001514,1629262274,SUMMERFIELD,FL,34491,0.364,,0,,0,,0.364,,71.88,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
PREMIER ENDOSCOPY CENTER LLC,10C0001506,1629262811,NAPLES,FL,34110,0,,0,,0,,0,,69.57,,94.79,,95.83,,N/A,5,2080,No Different than the National Rate,10.3,7.9,13.5,
PREMIER OUTPATIENT SURGERY CENTER,05C0001516,1629313739,COLTON,CA,92324,0,,0,,0,,1.225,,85.37,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
DENVER WEST ENDOSCOPY CENTER LLC,06C0001030,1629320742,LAKEWOOD,CO,80401,0,,0,,0,,0,,100,,92.01,,53.32,,N/A,5,221,No Different than the National Rate,11.7,8,17,
GREATER NORMAN SURGERY CENTER LLC,37C0001068,1629371687,NORMAN,OK,73072,N/A,5,N/A,5,N/A,5,N/A,5,86.67,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
MARTEL EYE INSTITUTE LLC,05C0002023,1629376207,RANCHO CORDOVA,CA,95670,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
ODESSA ENDOSCOPY CENTER LLC,45C0001335,1629386784,ODESSA,TX,79761,0,,0,,0,,1.222,,94.74,,96.96,,83.78,,N/A,5,330,No Different than the National Rate,12.8,9,17.9,
INLAND VALLEY SURGICAL PARTNERS LLC,05C0001762,1629390265,POMONA,CA,91767,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,74,No Different than the National Rate,11.9,8.1,17.6,
CENTRAL ARKANSAS SURGERY CENTER LLC,04C0001089,1629404918,LITTLE ROCK,AR,72205,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
PAIN CENTER OF WYOMING VALLEY LLC,39C0001318,1629409578,WILKES BARRE,PA,18702,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
IMPERIAL SURGERY CENTER LLC,45C0001572,1629419932,HOUSTON,TX,77065,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
HEART OF FLORIDA SURGERY CENTER,10C0001614,1629420922,DAVENPORT,FL,33837,4.202,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1
NEW HORIZON SURGICAL CENTER LLC,05C0002138,1629424866,BAKERSFIELD,CA,93311,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
CLARKSVILLE SURGICENTER LLC,44C0001057,1629458427,CLARKSVILLE,TN,37043,0,,0,,0,,0,,63.78,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
NORTHERN EC LLC,33C0001161,1629461934,GLENS FALLS,NY,12801,0,,0,,0,,0,,91.67,,100,,100,,N/A,5,424,No Different than the National Rate,12.7,9,18,
POLARIS SPINE AND NEUROSURGERY CENTER,11C0001444,1629462759,ATLANTA,GA,30328,N/A,5,N/A,5,N/A,5,N/A,5,96.3,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
215 SURGERY CENTER LLC,29C0001106,1629492137,LAS VEGAS,NV,89148,0,,0,,0,,0,,100,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
COLLEGE PARK ENDOSCOPY CENTER LLC,17C0001092,1629510326,OVERLAND PARK,KS,66211,0,,0,,0,,0,,100,,47.62,,100,,N/A,5,71,No Different than the National Rate,12.5,8.4,18.2,
ENDOSURG OUTPATIENT CENTER LLC,10C0001346,1639105455,LADY LAKE,FL,32159,0,,0,,0,,0,,62.5,,N/A,5,N/A,5,N/A,5,644,No Different than the National Rate,12.8,9,17.9,
MISSOULA BONE AND JOINT SURGERY CENTER LLC,27C0001018,1639126303,MISSOULA,MT,59808,0,,0,,0,,0,,54,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
NORTH HILLS SURGICARE LP,45C0001252,1639132178,NORTH RICHLAND HILLS,TX,76180,N/A,5,N/A,5,N/A,5,N/A,5,96.61,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
EYE ASSOCIATES NW SURGERY CENTER,50C0001014,1639134497,SEATTLE,WA,98107,N/A,5,N/A,5,N/A,5,N/A,5,86.67,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
PUEBLO AMBULATORY SURGERY CENTER LLC,06C0001029,1639134505,PUEBLO,CO,81001,0,,0,,0,,0,,96.08,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
SURGERY CENTERS OF DES MOINES LTD,16C0001000,1639135346,DES MOINES,IA,50309,0,,0,,0,,0,,86.61,,100,,100,,N/A,5,44,No Different than the National Rate,13.1,9.1,19.3,
GREENSBORO OPHTHALMOLOGY ASC LLC,34C0001014,1639142656,GREENSBORO,NC,27410,0,,0,,0,,0,,83.33,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
AMBULATORY SURGERY CENTER LLC,18C0001021,1639142706,PADUCAH,KY,42003,1.058,,0.265,,0,,0,,75.71,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
CENTENNIAL ASC LLC,45C0001396,1639146541,FRISCO,TX,75035,0,,0,,0,,0,,98.9,,31.58,,58.73,,N/A,5,67,No Different than the National Rate,12.9,8.7,19,
COLD SPRINGS MEDICAL SURGICAL GROUP,05C0001194,1639149255,SANTA BARBARA,CA,93105,0,,0,,0,,0,,88.64,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
BIG SKY SURGERY CENTER LLC,27C0001013,1639158645,MISSOULA,MT,59804,0,,0.744,,0,,0.744,,90.43,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
THE SURGERY CENTER AT SACRED HEART MEDICAL PARK DESTIN LLC,10C0001410,1639164916,DESTIN,FL,32541,0,,0,,0,,0,,96.08,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
WESTFALL SURGERY CENTER LLP,33C0001000,1639172828,ROCHESTER,NY,14618,0,,0,,0,,0,,95.07,,95.83,,95.83,,N/A,5,161,No Different than the National Rate,11.8,8.2,17,
PAIN TREATMENT CENTER INC,18C0001023,1639174634,LEXINGTON,KY,40503,0,,0,,0,,0,,64.44,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
BERKS CENTER FOR DIGESTIVE HEALTH LP,39C0001114,1639176183,WYOMISSING,PA,19610,0,,0,,0,,0.274,,75.38,,95.5,,73.25,,N/A,5,1980,No Different than the National Rate,10.9,8.2,14.3,
COLEMAN CATARACT AND EYE LASER SURGERY CENTER INC,25C0001041,1639177751,GREENWOOD,MS,38930,0,,0,,0,,0,,77.14,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
CY FAIR SURGERY CENTER,45C0001160,1639195217,HOUSTON,TX,77065,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,71,No Different than the National Rate,11.9,8,17.4,
VALLEY MEDICAL GROUP PC,22C0001044,1639203888,AMHERST,MA,1002,4.274,,0,,0,,0,,100,,100,,90.48,,N/A,5,312,No Different than the National Rate,12.9,8.8,18.7,
UNITED SURGERY CENTER,05C0001603,1639214778,MONTEBELLO,CA,90640,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1
BOSTON EYE SURGERY AND LASER CENTER TRUST,22C0001062,1639215502,WALTHAM,MA,2451,0,,0,,0,,0,,88.46,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
OAK SURGICAL INSTITUTE,14C0001101,1639224827,BRADLEY,IL,60915,0,,0,,0,,0,,55.74,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
MUSCULOSKELETAL AMBULATORY SURGERY CENTER INC DBA THE SURGERY CENTER AT POINTE WEST,10C0001321,1639237092,BRADENTON,FL,34209,0,,0,,0,,0,,28.57,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
RENAL INTERVENTION CENTER LLC,14C0001102,1639242506,MORTON,IL,61550,0,,0,,0,,0,,96,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
POST STREET SURGERY LLC,05C0001561,1639252760,SAN FRANCISCO,CA,94115,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
SPECIALISTS ONE DAY SURGERY LLC DBA SPECIALISTS ONE DAY SURGERY,33C0001063,1639261365,SYRACUSE,NY,13205,0,,0,,0,,0,,85.63,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
GARDEN CITY SURGERY CENTER,33C0001007,1639261407,GARDEN CITY,NY,11530,0,,0,,0,,0.255,,96.36,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
MEDICAL ARTS AMBULATORY SURGERY CENTER,05C0001137,1639267388,VISALIA,CA,93291,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
ATLANTA ENDOSCOPY CENTER,11C0001077,1639282932,DECATUR,GA,30033,0,,0,,0,,30.303,,N/A,5,N/A,5,N/A,5,N/A,5,100,No Different than the National Rate,12.2,8.4,18.2,
WHITE MARSH SURGERY CENTER,21C0001451,1639290026,NOTTINGHAM,MD,21236,0,,0,,0,,0.99,,100,,100,,100,,N/A,5,295,No Different than the National Rate,12.1,8.4,17.4,
MURFREESBORO MEDICAL CLINIC P A,44C0001034,1639299803,MURFREESBORO,TN,37129,0,,0,,0,,1.041,,97.14,,77.3,,49.95,,N/A,5,741,No Different than the National Rate,13.8,10,19,
THE NEUROSPINE CENTER LP,39C0001274,1639317399,LANCASTER,PA,17601,0,,0,,0,,0,,83.33,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
THE KISSIMMEE FL ENDOSCOPY ASC LLC,10C0001358,1639352347,KISSIMMEE,FL,34741,0,,0,,0,,0,,93.75,,100,,100,,N/A,5,252,No Different than the National Rate,11.7,8.2,16.7,
HEALING ARTS SURGERY CENTER INC,05C0001817,1639375108,BAKERSFIELD,CA,93301,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1
CLI SURGERY CENTER,15C0001116,1639386659,KOKOMO,IN,46902,0,,0,,0,,0,,83.33,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
DESERT CLIFFS SURGERY CENTER LLC,03C0001233,1639431653,MESA,AZ,85202,0,,0,,0,,0,,100,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
CHILDRENS AMBULATORY SURGERY CENTER OF NEW JERSEY LLC,31C0001302,1639452444,FAIR LAWN,NJ,7410,N/A,5,N/A,5,N/A,5,N/A,5,13.95,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
PHYSICIAN SURGERY CENTER OF ALBUQUERQUE LLC,32C0001121,1639456973,ALBUQUERQUE,NM,87122,0,,0,,0,,0,,34.92,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
LIVONIA OUTPATIENT SURGERY CENTER LLC,23C0001115,1639476377,LIVONIA,MI,48152,0,,0,,0,,0,,74.19,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
INTERVENTIONAL SPINE CENTER INC,05C0002050,1639498579,LAGUNA HILLS,CA,92653,0,,0,,0,,0,,N/A,1,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
INTERVENTIONAL SPINE CENTER INC,05C0002051,1639498579,LONG BEACH,CA,90806,0,,0,,0,,0,,N/A,1,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
GEORGIA UROLOGY PA,11C0001371,1639499627,MARIETTA,GA,30060,0,,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
MONROEVILLE AMBULATORY SURGERY CENTER LLC DBA ALLEGHENY HEALTH NETWORK MONROEVILLE SURGERY CENTER,39C0001308,1639510175,MONROEVILLE,PA,15146,0,,0,,0,,0,,37.36,,87.78,,41.67,,N/A,5,97,No Different than the National Rate,12.3,8.4,17.8,
SURGICAL CENTER OF SOUTHFIELD LLC DBA FOUNTAIN VIEW SURGERY CENTER,23C0001129,1639541303,SOUTHFIELD,MI,48034,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1
UNIVERSITY OF MN HEALTH CLINICS AND SURGERY CENTER,24C0001089,1639553779,MINNEAPOLIS,MN,55455,N/A,5,N/A,5,N/A,5,N/A,5,93,,93.94,,100,,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1
MULBERRY AMBULATORY SURGICAL CENTER LLC,31C0001319,1639561293,NEWARK,NJ,7012,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1
TRIAD SURGERY CENTER MCALESTER LLC,37C0001072,1639566318,MCALESTER,OK,74501,0,,0,,0,,0,,64.29,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
AKRON SURGICAL ASSOCIATES LLC,36C0001167,1649208679,AKRON,OH,44333,0,,0,,0,,0,,20.53,,94.12,,96.69,,N/A,5,68,No Different than the National Rate,13.4,9.1,19.5,
BROUSSARD SURGERY INSTITUTE INC,19C0001031,1649215765,MONROE,LA,71203,0,,0,,0,,0,,48.15,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
RIVER DRIVE SURGERY CENTER LLC,31C0001116,1649218009,ELMWOOD PARK,NJ,7407,0,,0,,0,,0.778,,46.67,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
